,date,negative,neutral,positive,views,sentiment_score,close,volume,value
0,2006-01-01,4,13,1,696,-0.4761904761904762,,,
1,2006-01-02,13,12,3,1123,-0.5813953488372093,,,
2,2006-01-03,10,17,3,1063,-0.4761904761904762,,,
3,2006-01-04,5,17,7,1127,0.14598540145985403,,,
4,2006-01-05,1,5,3,359,0.4444444444444444,,,
5,2006-01-06,3,13,3,772,0.0,,,
6,2006-01-07,1,0,2,97,0.3333333333333333,,,
7,2006-01-08,1,2,2,187,0.3125,,,
8,2006-01-09,0,5,1,195,0.6666666666666666,,,
9,2006-01-10,7,11,7,780,0.0,1811.99,1951792.0,3514496715.36
10,2006-01-11,7,11,5,1046,-0.15267175572519084,1820.97,1724314.0,3134687307.6
11,2006-01-12,2,12,5,640,0.3658536585365854,1901.89,4534017.0,8539255735.94
12,2006-01-13,1,10,6,544,0.625,1919.82,3013726.0,5746608584.12
13,2006-01-14,2,2,2,370,0.0,,,
14,2006-01-15,0,8,1,353,0.5555555555555556,,,
15,2006-01-16,4,9,6,756,0.18348623853211007,2039.99,4068377.0,8088632414.95
16,2006-01-17,8,16,5,1787,-0.20547945205479454,2048.0,6178488.0,12630159668.61
17,2006-01-18,5,22,10,949,0.29069767441860467,2064.99,5139043.0,10519065506.85
18,2006-01-19,9,13,11,909,0.09389671361502347,2126.05,5519534.0,11580540917.28
19,2006-01-20,8,19,9,1150,0.052910052910052914,2188.05,4260981.0,9244780132.28
20,2006-01-21,4,8,3,416,-0.12820512820512822,,,
21,2006-01-22,2,5,4,556,0.3076923076923077,,,
22,2006-01-23,9,24,10,1322,0.04672897196261683,2145.0,3028324.0,6556819222.69
23,2006-01-24,4,25,8,4130,0.27586206896551724,2161.5,2920028.0,6307232705.34
24,2006-01-25,6,28,5,1909,-0.07246376811594203,2180.2,5053041.0,10887305886.11
25,2006-01-26,11,17,13,962,0.07782101167315175,2170.31,2319935.0,5053566330.2
26,2006-01-27,6,11,5,794,-0.08264462809917356,2241.0,4828773.0,10705922467.06
27,2006-01-28,0,7,2,304,0.7407407407407407,,,
28,2006-01-29,2,5,2,336,0.0,,,
29,2006-01-30,2,8,4,528,0.29411764705882354,2175.0,4309285.0,9531105838.18
30,2006-01-31,7,21,9,4604,0.11049723756906077,2157.0,3815783.0,8338760894.05
31,2006-02-01,5,23,8,1608,0.19607843137254902,2203.0,3193663.0,6930594073.67
32,2006-02-02,3,19,8,794,0.38759689922480617,2168.0,2109006.0,4592712281.13
33,2006-02-03,0,2,6,238,0.9677419354838709,2112.0,3485163.0,7391521965.08
34,2006-02-04,2,2,3,229,0.1923076923076923,,,
35,2006-02-05,0,5,0,189,0.0,,,
36,2006-02-06,5,9,4,634,-0.10101010101010101,2164.83,2347281.0,5057078920.14
