date,views,number_of_news,sentiment_score,CLOSE,VOLUME
2006-07-19,899,27,13,203.95,517741.0
2006-07-20,501,17,4,203.26,1141288.0
2006-07-21,1038,22,3,202.0,1864106.0
2006-07-24,553,17,8,201.99,794152.0
2006-07-25,756,27,7,202.69,1674834.0
2006-07-26,1287,30,4,203.1,1009200.0
2006-07-27,350,10,2,203.5,2198736.0
2006-07-28,436,10,4,202.8,523310.0
2006-07-31,5971,17,5,202.6,175111.0
2006-08-01,917,23,1,202.75,384136.0
2006-08-02,1070,21,-3,201.99,176071.0
2006-08-03,671,16,0,200.75,1889098.0
2006-08-04,771,16,1,200.99,1377711.0
2006-08-07,473,15,3,200.3,1181552.0
2006-08-08,717,20,6,196.85,1975449.0
2006-08-09,807,28,1,198.24,983353.0
2006-08-10,464,13,5,200.0,1822726.0
2006-08-11,290,8,-1,201.22,1375209.0
2006-08-14,554,17,4,198.0,1433941.0
2006-08-15,1116,33,1,199.51,1095570.0
2006-08-16,987,29,0,201.0,1004449.0
2006-08-17,817,23,-3,199.89,555145.0
2006-08-18,871,23,-2,199.4,1133805.0
2006-08-21,2295,19,-4,198.0,540462.0
2006-08-22,769,20,0,199.9,853942.0
2006-08-23,615,22,8,199.75,294694.0
2006-08-24,447,12,-2,200.0,779842.0
2006-08-25,622,16,-4,202.29,877052.0
2006-08-28,6270,19,2,201.3,531327.0
2006-08-29,899,27,3,200.8,967370.0
2006-08-30,863,28,0,199.5,526325.0
2006-08-31,1308,15,4,197.7,876903.0
2006-09-01,1840,32,7,200.3,504755.0
2006-09-04,707,25,2,199.51,105974.0
2006-09-05,956,28,5,201.9,839769.0
2006-09-06,963,37,7,201.0,502486.0
2006-09-07,417,15,2,200.7,1245896.0
2006-09-08,462,16,3,201.35,675568.0
2006-09-11,1645,19,1,199.8,1459010.0
2006-09-12,1069,34,1,200.5,378880.0
2006-09-13,1370,38,6,201.0,488235.0
2006-09-14,860,24,0,201.0,2318428.0
2006-09-15,796,20,-6,204.2,1183822.0
2006-09-18,656,22,2,205.0,888776.0
2006-09-19,1339,40,-2,207.2,1206167.0
2006-09-20,657,22,1,215.0,4269186.0
2006-09-21,1066,22,0,209.96,1547261.0
2006-09-22,797,25,3,205.8,2255789.0
2006-09-25,1039,25,1,202.03,1876336.0
2006-09-26,693,30,-1,205.12,1782398.0
2006-09-27,510,18,0,207.28,1079367.0
2006-09-28,725,25,4,214.55,2474703.0
2006-09-29,847,32,5,211.99,1405493.0
2006-10-02,628,15,-5,211.35,392008.0
2006-10-03,1141,26,0,208.0,699622.0
2006-10-04,1114,25,3,209.39,421524.0
2006-10-05,546,21,2,212.5,710988.0
2006-10-06,2080,37,2,212.99,509685.0
2006-10-09,758,23,4,213.2,427601.0
2006-10-10,442,14,3,213.9,484795.0
2006-10-11,548,21,3,212.5,265840.0
2006-10-12,1009,32,0,211.92,245349.0
2006-10-13,797,26,5,214.0,407182.0
2006-10-16,1029,30,1,213.0,465545.0
2006-10-17,1306,35,-2,218.56,4043116.0
2006-10-18,1005,29,3,225.59,3546291.0
